epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.363,1.97527,2.44861,1.02975,0.29198,0.17801,0.13467,0.07139,1.7525,1.55446,0.97567,0.000237412,0.000237412,0.000237412
2,327.723,1.81221,1.5731,0.97834,0.2139,0.18984,0.15909,0.08772,1.76189,1.44575,0.96014,0.000451879,0.000451879,0.000451879
3,485.916,1.78117,1.48134,0.96848,0.25562,0.23484,0.19048,0.10509,1.69738,1.36565,0.957,0.000642785,0.000642785,0.000642785
4,644.709,1.7402,1.41659,0.96079,0.28501,0.23769,0.20576,0.1131,1.65721,1.31811,0.94702,0.000607971,0.000607971,0.000607971
5,804.156,1.71407,1.36389,0.95485,0.31686,0.24928,0.22597,0.12651,1.62061,1.26059,0.93745,0.000572628,0.000572628,0.000572628
6,962.359,1.70726,1.33513,0.94964,0.32041,0.25019,0.22863,0.12764,1.64598,1.26793,0.94294,0.000537285,0.000537285,0.000537285
7,1119.57,1.67381,1.29031,0.94402,0.3237,0.27038,0.24073,0.13211,1.62885,1.23492,0.94041,0.000501942,0.000501942,0.000501942
8,1277.8,1.66944,1.2714,0.93941,0.34988,0.26614,0.25004,0.13951,1.59908,1.19705,0.92663,0.000466599,0.000466599,0.000466599
9,1432.29,1.6439,1.24821,0.93703,0.30549,0.26975,0.24295,0.13553,1.61696,1.2271,0.93097,0.000431256,0.000431256,0.000431256
10,1589.31,1.64864,1.24388,0.93517,0.32431,0.27534,0.25088,0.13956,1.59945,1.22193,0.93037,0.000395913,0.000395913,0.000395913
11,1743.8,1.57449,1.20002,0.93414,0.35958,0.27162,0.26216,0.14699,1.57835,1.17973,0.92365,0.00036057,0.00036057,0.00036057
12,1893.04,1.5646,1.17279,0.93144,0.3822,0.28175,0.27211,0.15252,1.57969,1.16718,0.92715,0.000325227,0.000325227,0.000325227
13,2042.95,1.54816,1.15591,0.92632,0.35806,0.29029,0.27405,0.15298,1.56948,1.15432,0.92126,0.000289884,0.000289884,0.000289884
14,2190.35,1.53646,1.13467,0.92473,0.38342,0.28747,0.27837,0.15514,1.56125,1.14726,0.9225,0.000254541,0.000254541,0.000254541
15,2337.65,1.52983,1.12454,0.9221,0.37906,0.29069,0.2763,0.15675,1.55052,1.14249,0.91967,0.000219198,0.000219198,0.000219198
16,2484.94,1.52218,1.10845,0.92022,0.3832,0.29852,0.28447,0.16079,1.53821,1.12764,0.91693,0.000183855,0.000183855,0.000183855
17,2631.47,1.51334,1.09856,0.91756,0.3951,0.29576,0.28856,0.16378,1.53226,1.11969,0.91606,0.000148512,0.000148512,0.000148512
18,2777.88,1.50819,1.08934,0.91607,0.38934,0.29859,0.2909,0.16413,1.52556,1.1138,0.91349,0.000113169,0.000113169,0.000113169
19,2926.33,1.49377,1.0726,0.91342,0.39876,0.2978,0.28973,0.16528,1.52289,1.11065,0.91223,7.7826e-05,7.7826e-05,7.7826e-05
20,3082.41,1.48939,1.06989,0.91328,0.39127,0.30079,0.29275,0.16558,1.51923,1.10504,0.91319,4.2483e-05,4.2483e-05,4.2483e-05
