epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.681,1.50505,1.08718,0.91573,0.36807,0.29396,0.28275,0.15866,1.55346,1.15514,0.92105,0.000237412,0.000237412,0.000237412
2,316.229,1.5384,1.12819,0.92407,0.38985,0.28046,0.27404,0.15305,1.58337,1.16831,0.92859,0.000428347,0.000428347,0.000428347
3,467.195,1.54738,1.14106,0.92753,0.36158,0.27998,0.26662,0.14636,1.59701,1.18332,0.92517,0.000572157,0.000572157,0.000572157
4,618.302,1.54197,1.13483,0.92734,0.38421,0.28492,0.27661,0.15354,1.59457,1.16184,0.92901,0.000501942,0.000501942,0.000501942
5,768.39,1.52929,1.11466,0.92472,0.39777,0.29043,0.28501,0.16023,1.56145,1.14298,0.91928,0.000431256,0.000431256,0.000431256
6,917.688,1.51976,1.10179,0.92248,0.39389,0.29614,0.28676,0.16012,1.53778,1.13989,0.91691,0.00036057,0.00036057,0.00036057
7,1068.49,1.50923,1.08926,0.91949,0.38242,0.29525,0.27962,0.15872,1.53431,1.1333,0.9163,0.000289884,0.000289884,0.000289884
8,1218.25,1.49653,1.06821,0.91571,0.39675,0.30247,0.29581,0.16549,1.53881,1.1076,0.91634,0.000219198,0.000219198,0.000219198
9,1370.23,1.47759,1.04689,0.91109,0.40928,0.30358,0.29962,0.16967,1.51866,1.09828,0.91119,0.000148512,0.000148512,0.000148512
10,1520.96,1.47295,1.03656,0.90972,0.41345,0.30235,0.3014,0.17262,1.50991,1.0878,0.90971,7.7826e-05,7.7826e-05,7.7826e-05
