epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.302,1.47175,1.0443,0.90895,0.40023,0.2943,0.28862,0.1627,1.53832,1.11837,0.91665,0.000237421,0.000237421,0.000237421
2,320.795,1.50397,1.08159,0.91683,0.38716,0.30061,0.28799,0.16013,1.55758,1.14485,0.92143,0.000428354,0.000428354,0.000428354
3,476.731,1.51259,1.09298,0.91821,0.38916,0.29278,0.27784,0.15761,1.54916,1.14816,0.91674,0.000572164,0.000572164,0.000572164
4,631.752,1.50811,1.09209,0.91958,0.37916,0.29499,0.28193,0.159,1.54977,1.15863,0.92024,0.000501942,0.000501942,0.000501942
5,787.328,1.50349,1.08235,0.91611,0.40628,0.2962,0.28768,0.16387,1.53799,1.12732,0.91766,0.000431256,0.000431256,0.000431256
6,939.266,1.48987,1.0649,0.91442,0.40119,0.30695,0.29301,0.16761,1.5284,1.11193,0.91344,0.00036057,0.00036057,0.00036057
7,1092.24,1.47655,1.04485,0.91302,0.40379,0.30096,0.29361,0.16689,1.5349,1.10368,0.91414,0.000289884,0.000289884,0.000289884
8,1248.87,1.46956,1.03587,0.90996,0.41741,0.30959,0.30556,0.17152,1.51141,1.08877,0.90948,0.000219198,0.000219198,0.000219198
9,1403.22,1.45805,1.01824,0.90561,0.41776,0.31092,0.30748,0.17491,1.50801,1.08045,0.91153,0.000148512,0.000148512,0.000148512
10,1558.25,1.44766,1.00579,0.90402,0.42112,0.30995,0.30672,0.17506,1.49635,1.07496,0.90664,7.7826e-05,7.7826e-05,7.7826e-05
